八
扒
叭
巴
芭
疤
羓
粑
笆
豝
鈀
捌
拔
茇
胈
軷
菝
跋
鈸
魃
鼥
把
鈀
靶
把
弝
爸
耙
伯
罷
矲
霸
灞
壩
吧
杷
琶
罷
癶
撥
蹳
鱍
波
玻
啵
菠
碆
砵
缽
趵
般
剝
嶓
餑
嚗
犮
軷
鈸
白
百
伯
泊
拍
佰
帛
柏
舶
鉑
箔
彴
瓝
孛
勃
浡
悖
挬
郣
桲
荸
脖
渤
葧
馞
鵓
??
瓟
雹
骲
博
搏
猼
膊
薄
簙
鎛
餺
簿
髆
欂
礴
